,Code,name,latitude,longitude,Within_Region
278,6309,4e avenue / de Verdun,45.4568844514464,-73.57260704040526,True
303,6341,Regina / de Verdun,45.467369,-73.570769,True
334,6379,de l'Église / Bannantyne,45.4632535358533,-73.57587933540343,True
375,6425,Métro de l'Église (Ross / de l'Église),45.462846046287325,-73.56592163443565,True
376,6426,Métro Verdun (Willibrord / de Verdun),45.45948769454074,-73.5720920562744,True
377,6427,Métro Lasalle (de Rushbrooke / Caisse),45.47069642604657,-73.56542240828277,True
394,6705,5e avenue / Bannantyne,45.456365000000005,-73.57614000000001,True
395,6706,Beatty / de Verdun,45.45072997697293,-73.5725748538971,True
400,6712,LaSalle / Crawford,45.437913800652275,-73.58274042606355,True
403,6715,Natatorium (LaSalle / Rolland),45.444547014975356,-73.57509076595306,True
521,7056,Bibliothèque de Verdun (Brown / Bannantyne),45.448262048209465,-73.57785612344742,True
522,7057,2e avenue / Wellington,45.45789352611307,-73.56752824096475,True
523,7058,Gordon / Wellington,45.46107799010839,-73.56730699539183,True
524,7059,Argyle / de Verdun,45.45301583620112,-73.57191503047945,True
525,7060,de l'Église / de Verdun,45.46300108733154,-73.57156895217486,True
608,7143,LaSalle / Godin,45.44693448484644,-73.57219934463502,True
609,7144,Hickson / Wellington,45.464892517733055,-73.56699787080288,True
610,7145,Argyle / Bannantyne,45.4533187654689,-73.5767751932144,True
